"Date","Year","Month","Revenue","Time"
"1999-1-1","1999","Jan",3845,1999
"1999-2-1","1999","Feb",3717,1999.08333333333
"1999-3-1","1999","Mar",4939,1999.16666666667
"1999-4-1","1999","Apr",5238,1999.25
"1999-5-1","1999","May",5619,1999.33333333333
"1999-6-1","1999","Jun",6375,1999.41666666667
"1999-7-1","1999","Jul",6586,1999.5
"1999-8-1","1999","Aug",7012,1999.58333333333
"1999-9-1","1999","Sep",6109,1999.66666666667
"1999-10-1","1999","Oct",7212,1999.75
"1999-11-1","1999","Nov",7859,1999.83333333333
"1999-12-1","1999","Dec",8621,1999.91666666667
"2000-1-1","2000","Jan",9327,2000
"2000-2-1","2000","Feb",9019,2000.08333333333
"2000-3-1","2000","Mar",9933,2000.16666666667
"2000-4-1","2000","Apr",8863,2000.25
"2000-5-1","2000","May",10934,2000.33333333333
"2000-6-1","2000","Jun",12015,2000.41666666667
"2000-7-1","2000","Jul",15019,2000.5
"2000-8-1","2000","Aug",16077,2000.58333333333
"2000-9-1","2000","Sep",16396,2000.66666666667
"2000-10-1","2000","Oct",17462,2000.75
"2000-11-1","2000","Nov",18173,2000.83333333333
"2000-12-1","2000","Dec",18188,2000.91666666667
"2001-1-1","2001","Jan",16157,2001
"2001-2-1","2001","Feb",11614,2001.08333333333
"2001-3-1","2001","Mar",11750,2001.16666666667
"2001-4-1","2001","Apr",9232,2001.25
"2001-5-1","2001","May",8551,2001.33333333333
"2001-6-1","2001","Jun",8515,2001.41666666667
"2001-7-1","2001","Jul",8604,2001.5
"2001-8-1","2001","Aug",9028,2001.58333333333
"2001-9-1","2001","Sep",9308,2001.66666666667
"2001-10-1","2001","Oct",10338,2001.75
"2001-11-1","2001","Nov",11059,2001.83333333333
"2001-12-1","2001","Dec",11733,2001.91666666667
"2002-1-1","2002","Jan",12045,2002
"2002-2-1","2002","Feb",11468,2002.08333333333
"2002-3-1","2002","Mar",12277,2002.16666666667
"2002-4-1","2002","Apr",13366,2002.25
"2002-5-1","2002","May",15201,2002.33333333333
"2002-6-1","2002","Jun",15615,2002.41666666667
"2002-7-1","2002","Jul",13536,2002.5
"2002-8-1","2002","Aug",13544,2002.58333333333
"2002-9-1","2002","Sep",12755,2002.66666666667
"2002-10-1","2002","Oct",15231,2002.75
"2002-11-1","2002","Nov",14582,2002.83333333333
"2002-12-1","2002","Dec",11278,2002.91666666667
"2003-1-1","2003","Jan",13129,2003
"2003-2-1","2003","Feb",12345,2003.08333333333
"2003-3-1","2003","Mar",13851,2003.16666666667
"2003-4-1","2003","Apr",15264,2003.25
"2003-5-1","2003","May",16812,2003.33333333333
"2003-6-1","2003","Jun",17846,2003.41666666667
"2003-7-1","2003","Jul",17649,2003.5
"2003-8-1","2003","Aug",18317,2003.58333333333
"2003-9-1","2003","Sep",18911,2003.66666666667
"2003-10-1","2003","Oct",20304,2003.75
"2003-11-1","2003","Nov",18510,2003.83333333333
"2003-12-1","2003","Dec",18965,2003.91666666667
"2004-1-1","2004","Jan",19156,2004
"2004-2-1","2004","Feb",18385,2004.08333333333
"2004-3-1","2004","Mar",19972,2004.16666666667
"2004-4-1","2004","Apr",20631,2004.25
"2004-5-1","2004","May",21720,2004.33333333333
"2004-6-1","2004","Jun",22519,2004.41666666667
"2004-7-1","2004","Jul",23148,2004.5
"2004-8-1","2004","Aug",23414,2004.58333333333
"2004-9-1","2004","Sep",23174,2004.66666666667
"2004-10-1","2004","Oct",22970,2004.75
"2004-11-1","2004","Nov",20986,2004.83333333333
"2004-12-1","2004","Dec",19919,2004.91666666667
"2005-1-1","2005","Jan",20843,2005
"2005-2-1","2005","Feb",17200,2005.08333333333
"2005-3-1","2005","Mar",17610,2005.16666666667
"2005-4-1","2005","Apr",18903,2005.25
"2005-5-1","2005","May",19508,2005.33333333333
"2005-6-1","2005","Jun",20105,2005.41666666667
"2005-7-1","2005","Jul",20847,2005.5
"2005-8-1","2005","Aug",23182,2005.58333333333
"2005-9-1","2005","Sep",25229,2005.66666666667
"2005-10-1","2005","Oct",26227,2005.75
"2005-11-1","2005","Nov",27518,2005.83333333333
"2005-12-1","2005","Dec",27416,2005.91666666667
"2006-1-1","2006","Jan",26178,2006
"2006-2-1","2006","Feb",24009,2006.08333333333
"2006-3-1","2006","Mar",27107,2006.16666666667
"2006-4-1","2006","Apr",27388,2006.25
"2006-5-1","2006","May",27124,2006.33333333333
"2006-6-1","2006","Jun",27647,2006.41666666667
"2006-7-1","2006","Jul",27959,2006.5
"2006-8-1","2006","Aug",27284,2006.58333333333
"2006-9-1","2006","Sep",27198,2006.66666666667
"2006-10-1","2006","Oct",27032,2006.75
"2006-11-1","2006","Nov",25060,2006.83333333333
"2006-12-1","2006","Dec",22871,2006.91666666667
"2007-1-1","2007","Jan",21389,2007
"2007-2-1","2007","Feb",20947.9,2007.08333333333
"2007-3-1","2007","Mar",22560,2007.16666666667
"2007-4-1","2007","Apr",23093.76814,2007.25
"2007-5-1","2007","May",25711.84251,2007.33333333333
"2007-6-1","2007","Jun",26112.32216,2007.41666666667
"2007-7-1","2007","Jul",29482.67415,2007.5
"2007-8-1","2007","Aug",30018.85993,2007.58333333333
"2007-9-1","2007","Sep",29452.63008,2007.66666666667
"2007-10-1","2007","Oct",32606.41667,2007.75
"2007-11-1","2007","Nov",31264.92582,2007.83333333333
"2007-12-1","2007","Dec",29988.44438,2007.91666666667
"2008-1-1","2008","Jan",31069.01817,2008
"2008-2-1","2008","Feb",29282.492,2008.08333333333
"2008-3-1","2008","Mar",27128.456,2008.16666666667
"2008-4-1","2008","Apr",28862.999,2008.25
"2008-5-1","2008","May",29801.21,2008.33333333333
"2008-6-1","2008","Jun",29472.535,2008.41666666667
"2008-7-1","2008","Jul",31814.177,2008.5
"2008-8-1","2008","Aug",31849.618,2008.58333333333
"2008-9-1","2008","Sep",29314.755,2008.66666666667
"2008-10-1","2008","Oct",29490,2008.75
"2008-11-1","2008","Nov",20644,2008.83333333333
"2008-12-1","2008","Dec",14429,2008.91666666667
"2009-1-1","2009","Jan",13126,2009
"2009-2-1","2009","Feb",12176,2009.08333333333
"2009-3-1","2009","Mar",14198,2009.16666666667
"2009-4-1","2009","Apr",22450,2009.25
"2009-5-1","2009","May",25247,2009.33333333333
"2009-6-1","2009","Jun",26515,2009.41666666667
"2009-7-1","2009","Jul",31173,2009.5
"2009-8-1","2009","Aug",29827,2009.58333333333
"2009-9-1","2009","Sep",28936,2009.66666666667
"2009-10-1","2009","Oct",30219,2009.75
"2009-11-1","2009","Nov",30322,2009.83333333333
"2009-12-1","2009","Dec",31554,2009.91666666667
"2010-1-1","2010","Jan",30136,2010
"2010-2-1","2010","Feb",30132,2010.08333333333
"2010-3-1","2010","Mar",31919,2010.16666666667
"2010-4-1","2010","Apr",33809,2010.25
"2010-5-1","2010","May",34819,2010.33333333333
"2010-6-1","2010","Jun",36334,2010.41666666667
"2010-7-1","2010","Jul",37218,2010.5
"2010-8-1","2010","Aug",37391,2010.58333333333
"2010-9-1","2010","Sep",37638,2010.66666666667
"2010-10-1","2010","Oct",38427,2010.75
"2010-11-1","2010","Nov",36846,2010.83333333333
"2010-12-1","2010","Dec",34869,2010.91666666667
"2011-1-1","2011","Jan",35371,2011
"2011-2-1","2011","Feb",32691,2011.08333333333
"2011-3-1","2011","Mar",37315,2011.16666666667
"2011-4-1","2011","Apr",37127,2011.25
"2011-5-1","2011","May",36709,2011.33333333333
"2011-6-1","2011","Jun",36673,2011.41666666667
"2011-7-1","2011","Jul",35432,2011.5
"2011-8-1","2011","Aug",37645,2011.58333333333
"2011-9-1","2011","Sep",33406,2011.66666666667
"2011-10-1","2011","Oct",37610,2011.75
"2011-11-1","2011","Nov",35859,2011.83333333333
"2011-12-1","2011","Dec",31242,2011.91666666667
"2012-1-1","2012","Jan",34569,2012
"2012-2-1","2012","Feb",33856,2012.08333333333
"2012-3-1","2012","Mar",37083,2012.16666666667
"2012-4-1","2012","Apr",40496,2012.25
"2012-5-1","2012","May",44138,2012.33333333333
"2012-6-1","2012","Jun",43427,2012.41666666667
"2012-7-1","2012","Jul",48525,2012.5
"2012-8-1","2012","Aug",49497,2012.58333333333
"2012-9-1","2012","Sep",43353,2012.66666666667
"2012-10-1","2012","Oct",49938,2012.75
"2012-11-1","2012","Nov",44253,2012.83333333333
"2012-12-1","2012","Dec",37114,2012.91666666667
"2013-1-1","2013","Jan",47439,2013
"2013-2-1","2013","Feb",41182,2013.08333333333
"2013-3-1","2013","Mar",44134,2013.16666666667
"2013-4-1","2013","Apr",50071,2013.25
"2013-5-1","2013","May",51788,2013.33333333333
"2013-6-1","2013","Jun",54028,2013.41666666667
"2013-7-1","2013","Jul",52103,2013.5
"2013-8-1","2013","Aug",55091,2013.58333333333
"2013-9-1","2013","Sep",55382,2013.66666666667
"2013-10-1","2013","Oct",51795,2013.75
"2013-11-1","2013","Nov",44330,2013.83333333333
"2013-12-1","2013","Dec",49681,2013.91666666667
"2014-1-1","2014","Jan",51430,2014
"2014-2-1","2014","Feb",46829,2014.08333333333
"2014-3-1","2014","Mar",49956,2014.16666666667
"2014-4-1","2014","Apr",61887,2014.25
"2014-5-1","2014","May",60789,2014.33333333333
"2014-6-1","2014","Jun",60344,2014.41666666667
"2014-7-1","2014","Jul",64925,2014.5
"2014-8-1","2014","Aug",69279,2014.58333333333
"2014-9-1","2014","Sep",74846,2014.66666666667
"2014-10-1","2014","Oct",80736,2014.75
"2014-11-1","2014","Nov",72275,2014.83333333333
"2014-12-1","2014","Dec",69510,2014.91666666667
"2015-1-1","2015","Jan",87120,2015
"2015-2-1","2015","Feb",62645,2015.08333333333
"2015-3-1","2015","Mar",72269,2015.16666666667
"2015-4-1","2015","Apr",75330,2015.25
"2015-5-1","2015","May",70155,2015.33333333333
"2015-6-1","2015","Jun",59955,2015.41666666667
"2015-7-1","2015","Jul",80953,2015.5
"2015-8-1","2015","Aug",67038,2015.58333333333
"2015-9-1","2015","Sep",64514,2015.66666666667
"2015-10-1","2015","Oct",81743,2015.75
"2015-11-1","2015","Nov",63428,2015.83333333333
"2015-12-1","2015","Dec",58347,2015.91666666667
"2016-1-1","2016","Jan",70855,2016
"2016-2-1","2016","Feb",59551,2016.08333333333
"2016-3-1","2016","Mar",73089,2016.16666666667
"2016-4-1","2016","Apr",66843,2016.25
"2016-5-1","2016","May",73576,2016.33333333333
"2016-6-1","2016","Jun",81391,2016.41666666667
"2016-7-1","2016","Jul",76392,2016.5
"2016-8-1","2016","Aug",94311,2016.58333333333
"2016-9-1","2016","Sep",89703,2016.66666666667
"2016-10-1","2016","Oct",91085,2016.75
"2016-11-1","2016","Nov",93030,2016.83333333333
"2016-12-1","2016","Dec",78112,2016.91666666667
"2017-1-1","2017","Jan",76616,2017
"2017-2-1","2017","Feb",71423,2017.08333333333
"2017-3-1","2017","Mar",85875,2017.16666666667
"2017-4-1","2017","Apr",56872,2017.25
"2017-5-1","2017","May",72796,2017.33333333333
"2017-6-1","2017","Jun",84187,2017.41666666667
"2017-7-1","2017","Jul",71611,2017.5
"2017-8-1","2017","Aug",91917,2017.58333333333
"2017-9-1","2017","Sep",88579,2017.66666666667
"2017-10-1","2017","Oct",94520,2017.75
"2017-11-1","2017","Nov",93153,2017.83333333333
"2017-12-1","2017","Dec",89897,2017.91666666667
"2018-1-1","2018","Jan",79741,2018
"2018-2-1","2018","Feb",64641,2018.08333333333
"2018-3-1","2018","Mar",103697,2018.16666666667
"2018-4-1","2018","Apr",81870,2018.25
"2018-5-1","2018","May",80969,2018.33333333333
"2018-6-1","2018","Jun",70438,2018.41666666667
"2018-7-1","2018","Jul",74371,2018.5
"2018-8-1","2018","Aug",91055,2018.58333333333
"2018-9-1","2018","Sep",94922,2018.66666666667
"2018-10-1","2018","Oct",101550,2018.75
"2018-11-1","2018","Nov",98389,2018.83333333333
"2018-12-1","2018","Dec",89831,2018.91666666667
"2019-1-1","2019","Jan",78094,2019
"2019-2-1","2019","Feb",60889,2019.08333333333
"2019-3-1","2019","Mar",79722,2019.16666666667
"2019-4-1","2019","Apr",74694,2019.25
"2019-5-1","2019","May",80437,2019.33333333333
"2019-6-1","2019","Jun",85868,2019.41666666667
"2019-7-1","2019","Jul",84758,2019.5
"2019-8-1","2019","Aug",106118,2019.58333333333
"2019-9-1","2019","Sep",102170,2019.66666666667
"2019-10-1","2019","Oct",106040,2019.75
"2019-11-1","2019","Nov",107884,2019.83333333333
"2019-12-1","2019","Dec",103313,2019.91666666667
"2020-1-1","2020","Jan",103683,2020
"2020-2-1","2020","Feb",93394,2020.08333333333
"2020-3-1","2020","Mar",113520,2020.16666666667
"2020-4-1","2020","Apr",96002,2020.25
"2020-5-1","2020","May",93819,2020.33333333333
"2020-6-1","2020","Jun",120878,2020.41666666667
"2020-7-1","2020","Jul",105963,2020.5
"2020-8-1","2020","Aug",122878,2020.58333333333
"2020-9-1","2020","Sep",127585,2020.66666666667
"2020-10-1","2020","Oct",119303,2020.75
"2020-11-1","2020","Nov",124865,2020.83333333333
"2020-12-1","2020","Dec",117365,2020.91666666667
"2021-1-1","2021","Jan",126749,2021
"2021-2-1","2021","Feb",106534,2021.08333333333
"2021-3-1","2021","Mar",129127,2021.16666666667
"2021-4-1","2021","Apr",111315,2021.25
"2021-5-1","2021","May",112360,2021.33333333333
"2021-6-1","2021","Jun",148471,2021.41666666667
"2021-7-1","2021","Jul",124558,2021.5
"2021-8-1","2021","Aug",137427,2021.58333333333
"2021-9-1","2021","Sep",152685,2021.66666666667
"2021-10-1","2021","Oct",134539,2021.75
"2021-11-1","2021","Nov",148268,2021.83333333333
"2021-12-1","2021","Dec",155382,2021.91666666667
"2022-1-1","2022","Jan",172176,2022
"2022-2-1","2022","Feb",146933,2022.08333333333
"2022-3-1","2022","Mar",171967,2022.16666666667
"2022-4-1","2022","Apr",172561,2022.25
"2022-5-1","2022","May",185705,2022.33333333333
"2022-6-1","2022","Jun",175874,2022.41666666667
"2022-7-1","2022","Jul",186763,2022.5
"2022-8-1","2022","Aug",218132,2022.58333333333
"2022-9-1","2022","Sep",208248,2022.66666666667
"2022-10-1","2022","Oct",210266,2022.75
"2022-11-1","2022","Nov",222706,2022.83333333333
"2022-12-1","2022","Dec",192560,2022.91666666667
"2023-1-1","2023","Jan",200051,2023
"2023-2-1","2023","Feb",163174,2023.08333333333
"2023-3-1","2023","Mar",145408,2023.16666666667
"2023-4-1","2023","Apr",147900,2023.25
